img_id,object_0,object_1,anti_label,com_label
bag_bee_2.jpeg,bag,bee,smaller,larger
bag_bee_4.jpeg,bag,bee,smaller,larger
bag_bottle_0.jpeg,bag,bottle,smaller,larger
bag_eye_0.jpeg,bag,eye,smaller,larger
bag_eye_1.jpeg,bag,eye,smaller,larger
balloon_lip_0.jpeg,balloon,lip,smaller,larger
balloon_lip_1.jpeg,balloon,lip,smaller,larger
bear_leaf_0.jpeg,bear,leaf,smaller,larger
bear_leaf_1.jpeg,bear,leaf,smaller,larger
bed_lip_0.jpeg,bed,lip,smaller,larger
bed_lip_1.jpeg,bed,lip,smaller,larger
bed_microphone_2.jpeg,bed,microphone,smaller,larger
bed_microphone_3.jpeg,bed,microphone,smaller,larger
bicycle_balloon_1.jpeg,bicycle,balloon,smaller,larger
bicycle_candle_2.jpeg,bicycle,candle,smaller,larger
bicycle_candle_3.jpeg,bicycle,candle,smaller,larger
bicycle_hand_0.jpeg,bicycle,hand,smaller,larger
bicycle_hand_2.jpeg,bicycle,hand,smaller,larger
bicycle_laptop_0.jpeg,bicycle,laptop,smaller,larger
bicycle_laptop_3.jpeg,bicycle,laptop,smaller,larger
bicycle_lip_0.jpeg,bicycle,lip,smaller,larger
bicycle_lip_1.jpeg,bicycle,lip,smaller,larger
bicycle_lobster_0.jpeg,bicycle,lobster,smaller,larger
bicycle_lobster_1.jpeg,bicycle,lobster,smaller,larger
bicycle_pot_2.jpeg,bicycle,pot,smaller,larger
bicycle_pot_3.jpeg,bicycle,pot,smaller,larger
boat_ant_0.jpeg,boat,ant,smaller,larger
boat_deer_0.jpeg,boat,deer,smaller,larger
boat_deer_1.jpeg,boat,deer,smaller,larger
boat_pumpkin_0.jpeg,boat,pumpkin,smaller,larger
boat_pumpkin_1.jpeg,boat,pumpkin,smaller,larger
bowl_bee_0.jpeg,bowl,bee,smaller,larger
bus_guitar_0.jpeg,bus,guitar,smaller,larger
bus_guitar_3.jpeg,bus,guitar,smaller,larger
bus_lemon_1.jpeg,bus,lemon,smaller,larger
bus_lemon_3.jpeg,bus,lemon,smaller,larger
car_clock_2.jpeg,car,clock,smaller,larger
car_clock_3.jpeg,car,clock,smaller,larger
car_leaf_0.jpeg,car,leaf,smaller,larger
car_leaf_2.jpeg,car,leaf,smaller,larger
car_lip_0.jpeg,car,lip,smaller,larger
car_lip_1.jpeg,car,lip,smaller,larger
car_microphone_0.jpeg,car,microphone,smaller,larger
car_microphone_1.jpeg,car,microphone,smaller,larger
car_shoe_0.jpeg,car,shoe,smaller,larger
car_shoe_1.jpeg,car,shoe,smaller,larger
car_towel_0.jpeg,car,towel,smaller,larger
car_towel_1.jpeg,car,towel,smaller,larger
cat_tape_0.jpeg,cat,tape,smaller,larger
cat_tape_1.jpeg,cat,tape,smaller,larger
chair_bee_0.jpeg,chair,bee,smaller,larger
chair_bee_1.jpeg,chair,bee,smaller,larger
chair_foot_2.jpeg,chair,foot,smaller,larger
chair_foot_3.jpeg,chair,foot,smaller,larger
chair_lip_0.jpeg,chair,lip,smaller,larger
chair_lip_1.jpeg,chair,lip,smaller,larger
chair_pizza_1.jpeg,chair,pizza,smaller,larger
chair_pizza_3.jpeg,chair,pizza,smaller,larger
chair_purse_0.jpeg,chair,purse,smaller,larger
chair_purse_3.jpeg,chair,purse,smaller,larger
cheetah_flower_1.jpeg,cheetah,flower,smaller,larger
cheetah_mug_0.jpeg,cheetah,mug,smaller,larger
cheetah_mug_1.jpeg,cheetah,mug,smaller,larger
cheetah_spoon_1.jpeg,cheetah,spoon,smaller,larger
cheetah_tomato_0.jpeg,cheetah,tomato,smaller,larger
cheetah_tomato_1.jpeg,cheetah,tomato,smaller,larger
clock_lip_0.jpeg,clock,lip,smaller,larger
clock_lip_1.jpeg,clock,lip,smaller,larger
coat_towel_1.jpeg,coat,towel,smaller,larger
coat_towel_3.jpeg,coat,towel,smaller,larger
cup_shrimp_0.jpeg,cup,shrimp,smaller,larger
cup_shrimp_1.jpeg,cup,shrimp,smaller,larger
deer_balloon_0.jpeg,deer,balloon,smaller,larger
deer_balloon_1.jpeg,deer,balloon,smaller,larger
deer_foot_1.jpeg,deer,foot,smaller,larger
deer_foot_2.jpeg,deer,foot,smaller,larger
deer_plate_0.jpeg,deer,plate,smaller,larger
deer_plate_1.jpeg,deer,plate,smaller,larger
deer_tomato_0.jpeg,deer,tomato,smaller,larger
deer_tomato_1.jpeg,deer,tomato,smaller,larger
desk_balloon_1.jpeg,desk,balloon,smaller,larger
desk_balloon_2.jpeg,desk,balloon,smaller,larger
desk_bird_0.jpeg,desk,bird,smaller,larger
desk_bird_1.jpeg,desk,bird,smaller,larger
desk_ear_1.jpeg,desk,ear,smaller,larger
desk_ear_2.jpeg,desk,ear,smaller,larger
desk_foot_1.jpeg,desk,foot,smaller,larger
desk_foot_3.jpeg,desk,foot,smaller,larger
desk_towel_1.jpeg,desk,towel,smaller,larger
desk_towel_3.jpeg,desk,towel,smaller,larger
dish_ant_1.jpeg,dish,ant,smaller,larger
dog_balloon_1.jpeg,dog,balloon,smaller,larger
dog_leaf_2.jpeg,dog,leaf,smaller,larger
dog_leaf_3.jpeg,dog,leaf,smaller,larger
dog_mug_0.jpeg,dog,mug,smaller,larger
dog_mug_1.jpeg,dog,mug,smaller,larger
dog_potato_2.jpeg,dog,potato,smaller,larger
duck_lip_0.jpeg,duck,lip,smaller,larger
duck_lip_1.jpeg,duck,lip,smaller,larger
elephant_bowl_0.jpeg,elephant,bowl,smaller,larger
elephant_bowl_1.jpeg,elephant,bowl,smaller,larger
elephant_leaf_0.jpeg,elephant,leaf,smaller,larger
elephant_leaf_1.jpeg,elephant,leaf,smaller,larger
elephant_mug_0.jpeg,elephant,mug,smaller,larger
elephant_mug_1.jpeg,elephant,mug,smaller,larger
elephant_pizza_0.jpeg,elephant,pizza,smaller,larger
elephant_pizza_1.jpeg,elephant,pizza,smaller,larger
elephant_tomato_0.jpeg,elephant,tomato,smaller,larger
elephant_towel_0.jpeg,elephant,towel,smaller,larger
elephant_towel_1.jpeg,elephant,towel,smaller,larger
faucet_eye_0.jpeg,faucet,eye,smaller,larger
faucet_eye_1.jpeg,faucet,eye,smaller,larger
faucet_eye_3.jpeg,faucet,eye,smaller,larger
faucet_lip_0.jpeg,faucet,lip,smaller,larger
faucet_lip_1.jpeg,faucet,lip,smaller,larger
fireplace_duck_0.jpeg,fireplace,duck,smaller,larger
fireplace_lemon_0.jpeg,fireplace,lemon,smaller,larger
fireplace_lemon_1.jpeg,fireplace,lemon,smaller,larger
fireplace_towel_0.jpeg,fireplace,towel,smaller,larger
fireplace_towel_1.jpeg,fireplace,towel,smaller,larger
fireplace_vase_0.jpeg,fireplace,vase,smaller,larger
guitar_candle_1.jpeg,guitar,candle,smaller,larger
guitar_helmet_0.jpeg,guitar,helmet,smaller,larger
guitar_helmet_1.jpeg,guitar,helmet,smaller,larger
guitar_pot_0.jpeg,guitar,pot,smaller,larger
guitar_pot_1.jpeg,guitar,pot,smaller,larger
horse_bowl_1.jpeg,horse,bowl,smaller,larger
horse_pillow_0.jpeg,horse,pillow,smaller,larger
horse_pizza_1.jpeg,horse,pizza,smaller,larger
horse_teapot_1.jpeg,horse,teapot,smaller,larger
human_balloon_0.jpeg,human,balloon,smaller,larger
human_balloon_1.jpeg,human,balloon,smaller,larger
human_bee_0.jpeg,human,bee,smaller,larger
human_bee_1.jpeg,human,bee,smaller,larger
human_bowl_0.jpeg,human,bowl,smaller,larger
human_bowl_1.jpeg,human,bowl,smaller,larger
human_clock_0.jpeg,human,clock,smaller,larger
human_clock_1.jpeg,human,clock,smaller,larger
human_foot_0.jpeg,human,foot,smaller,larger
human_foot_1.jpeg,human,foot,smaller,larger
human_pot_0.jpeg,human,pot,smaller,larger
human_pot_1.jpeg,human,pot,smaller,larger
human_spoon_0.jpeg,human,spoon,smaller,larger
human_spoon_1.jpeg,human,spoon,smaller,larger
kite_hand_1.jpeg,kite,hand,smaller,larger
lamp_tape_1.jpeg,lamp,tape,smaller,larger
laptop_eye_1.jpeg,laptop,eye,smaller,larger
laptop_leaf_0.jpeg,laptop,leaf,smaller,larger
lemon_ear_1.jpeg,lemon,ear,smaller,larger
lemon_ear_3.jpeg,lemon,ear,smaller,larger
lion_mug_3.jpeg,lion,mug,smaller,larger
lion_pot_3.jpeg,lion,pot,smaller,larger
lion_umbrella_2.jpeg,lion,umbrella,smaller,larger
lion_umbrella_3.jpeg,lion,umbrella,smaller,larger
minivan_bicycle_0.jpeg,minivan,bicycle,smaller,larger
minivan_bicycle_1.jpeg,minivan,bicycle,smaller,larger
minivan_dog_1.jpeg,minivan,dog,smaller,larger
minivan_dog_3.jpeg,minivan,dog,smaller,larger
minivan_eye_0.jpeg,minivan,eye,smaller,larger
minivan_eye_1.jpeg,minivan,eye,smaller,larger
minivan_lip_0.jpeg,minivan,lip,smaller,larger
minivan_lip_1.jpeg,minivan,lip,smaller,larger
minivan_spoon_0.jpeg,minivan,spoon,smaller,larger
potato_lip_0.jpeg,potato,lip,smaller,larger
potato_lip_1.jpeg,potato,lip,smaller,larger
scooter_clock_0.jpeg,scooter,clock,smaller,larger
scooter_clock_1.jpeg,scooter,clock,smaller,larger
scooter_microphone_2.jpeg,scooter,microphone,smaller,larger
scooter_microphone_3.jpeg,scooter,microphone,smaller,larger
scooter_mug_0.jpeg,scooter,mug,smaller,larger
scooter_mug_1.jpeg,scooter,mug,smaller,larger
scooter_purse_0.jpeg,scooter,purse,smaller,larger
scooter_purse_1.jpeg,scooter,purse,smaller,larger
sink_bird_0.jpeg,sink,bird,smaller,larger
sink_laptop_0.jpeg,sink,laptop,smaller,larger
sink_laptop_1.jpeg,sink,laptop,smaller,larger
sink_lip_0.jpeg,sink,lip,smaller,larger
sink_lip_1.jpeg,sink,lip,smaller,larger
stairway_pizza_0.jpeg,stairway,pizza,smaller,larger
stairway_pizza_1.jpeg,stairway,pizza,smaller,larger
stairway_shoe_1.jpeg,stairway,shoe,smaller,larger
suv_bicycle_0.jpeg,suv,bicycle,smaller,larger
suv_bicycle_1.jpeg,suv,bicycle,smaller,larger
suv_pizza_0.jpeg,suv,pizza,smaller,larger
suv_pizza_1.jpeg,suv,pizza,smaller,larger
table_book_0.jpeg,table,book,smaller,larger
table_book_1.jpeg,table,book,smaller,larger
table_lobster_0.jpeg,table,lobster,smaller,larger
table_lobster_1.jpeg,table,lobster,smaller,larger
tomato_bee_0.jpeg,tomato,bee,smaller,larger
tomato_bee_1.jpeg,tomato,bee,smaller,larger
towel_bee_0.jpeg,towel,bee,smaller,larger
towel_bee_1.jpeg,towel,bee,smaller,larger
towel_eye_0.jpeg,towel,eye,smaller,larger
towel_eye_1.jpeg,towel,eye,smaller,larger
tree_dish_0.jpeg,tree,dish,smaller,larger
tree_dish_1.jpeg,tree,dish,smaller,larger
vase_bee_0.jpeg,vase,bee,smaller,larger
window_flower_0.jpeg,window,flower,smaller,larger
window_flower_1.jpeg,window,flower,smaller,larger
